"matrix_id","case_id","artifact","path","sha256","bytes"
"01_buck_diode","c01_nominal_full_load","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c01_nominal_full_load\design_request.md","b380a600eb4f8a32cf78136b5c34a62494394d1255f28a6b95a3baef45ce5ec0","4861"
"01_buck_diode","c01_nominal_full_load","design_result.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c01_nominal_full_load\design_result.md","0c97c6d3e709ee7f07ff361abece8d828c0ea2ad7c4baa04dac28a82fa14cfd6","28140"
"01_buck_diode","c02_low_input_full_load","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c02_low_input_full_load\design_request.md","e61a5efa35d323757749bb9493106ea72e595d6bec39c1dfa142ef598d570cf1","4865"
"01_buck_diode","c02_low_input_full_load","design_result.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c02_low_input_full_load\design_result.md","9730807cecf75372eba33679d97e11c2d84cf04366489256123f53674ebddcd8","28134"
"01_buck_diode","c03_high_input_full_load","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c03_high_input_full_load\design_request.md","8b1bf5ea3222fd141ab206e92975cdc8e6eae6fcf8676f3fd8deaf498498bfe4","4867"
"01_buck_diode","c03_high_input_full_load","design_result.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c03_high_input_full_load\design_result.md","b67fb2d1f136bd362ca81d244814262deeedd9367639a6f3a073b9f63072ac85","28149"
"01_buck_diode","c04_nominal_light_load_20pct","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c04_nominal_light_load_20pct\design_request.md","26aff10b030f9c1fd42463051d4231f5d01bb0894e0d08b76cf142385676e49d","4874"
"01_buck_diode","c04_nominal_light_load_20pct","design_result.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c04_nominal_light_load_20pct\design_result.md","08fb7d71df6bd3b3f780ff0290898055d8e2dc71452d2bb291638aa12abc3c2b","28297"
"01_buck_diode","c05_nominal_high_ripple","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c05_nominal_high_ripple\design_request.md","f22695e1c4673b2048487b770fdfaed0702783bdda36a49cf4ce0e7e7b97a075","4867"
"01_buck_diode","c05_nominal_high_ripple","design_result.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\01_buck_diode\c05_nominal_high_ripple\design_result.md","b015855598a933ae66f81f42a4ba51da31f29b885a1e49ec3861680aafe14fc8","28223"
"02_buck_synchronous","c01_nominal_full_load","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\02_buck_synchronous\c01_nominal_full_load\design_request.md","0468377be9c4f16211c900d45eaadd46f1a0e94f178a2e2ace4510d200e03868","4942"
"02_buck_synchronous","c01_nominal_full_load","design_result.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\02_buck_synchronous\c01_nominal_full_load\design_result.md","7d9edcac12680209f1372b723fd08d861fbf33c7fe05fca551d5dabc3785745a","29313"
"02_buck_synchronous","c02_low_input_full_load","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\02_buck_synchronous\c02_low_input_full_load\design_request.md","35b904423f2dc3d8f66277a7b98f278ae25d399cde83cc5a05dfae8332e67ba3","4946"
"02_buck_synchronous","c02_low_input_full_load","design_result.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\02_buck_synchronous\c02_low_input_full_load\design_result.md","914c161b67d801fda22c15ebc0981d40b830b94cb75b0971a2927fda63feb1a6","29324"
"02_buck_synchronous","c03_high_input_full_load","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\02_buck_synchronous\c03_high_input_full_load\design_request.md","4798774a8b992bfc24537b516feab7108352603163d858842a0e1cc805970305","4948"
"02_buck_synchronous","c03_high_input_full_load","design_result.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\02_buck_synchronous\c03_high_input_full_load\design_result.md","7f403e0aaf4d3a1b456be8b41f47d139647c13a2b0866e165a814c1d196650b8","29314"
"02_buck_synchronous","c04_nominal_light_load_20pct","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\02_buck_synchronous\c04_nominal_light_load_20pct\design_request.md","487321bb8ce54ca883b44738d80a782e4031fb6857b1937096089784de8921f3","4956"
"02_buck_synchronous","c04_nominal_light_load_20pct","design_result.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\02_buck_synchronous\c04_nominal_light_load_20pct\design_result.md","bf92c2989a01e7365122998aef2bef6681d9292f29ec3e46c6b7013dc7b36807","29556"
"02_buck_synchronous","c05_nominal_high_ripple","design_request.md","C:\Users\Lumia\Documents\PE_Claw\PE_Claw260517_1_extracted\PE_Claw\design_requests\02_buck_synchronous\c05_nominal_high_ripple\design_request.md","16ea25e9061d1fe55437b1bed935df8e4c68c3f7f348daabd23aeeb5666b044c","4948"
